Close Price,Open Price,High Price,Low Price,Total Traded Quantity,TTQ,Month,Year,Day_Perc_Change,Trend,Rolling_14,upper_bollinger,lower_bollinger
139.94,139.14,140.4,138.69,37.28M,37280000.0,10,2019,0.0,Slight or No change,,,
137.24,136.88,137.45,135.61,31.38M,31380000.0,10,2019,-0.01929398313562947,Slight or No change,,,
136.37,138.97,140.01,136.26,27.94M,27940000.0,10,2019,-0.006339259691052202,Slight or No change,,,
138.43,138.45,138.5,137.01,20.72M,20720000.0,10,2019,0.015105961721786354,Slight or No change,,,
137.41,139.76,140.0,136.56,32.28M,32280000.0,10,2019,-0.007368345011919407,Slight or No change,,,
139.69,140.95,141.42,139.02,22.10M,22100000.0,10,2019,0.016592678844334463,Slight or No change,,,
140.41,140.79,140.99,139.53,20.84M,20840000.0,10,2019,0.0051542701696614115,Slight or No change,,,
141.57,140.06,141.79,139.81,19.92M,19920000.0,10,2019,0.008261519834769526,Slight or No change,,,
139.55,139.69,140.29,139.52,13.59M,13590000.0,10,2019,-0.014268559723105034,Slight or No change,,,
139.68,140.12,141.03,139.5,25.55M,25550000.0,10,2019,0.0009315657470441164,Slight or No change,,,
139.1,138.49,139.67,138.25,18.40M,18400000.0,10,2019,-0.004152348224513268,Slight or No change,,,
138.24,137.46,138.7,136.97,20.18M,20180000.0,10,2019,-0.006182602444284591,Slight or No change,,,
135.67,137.08,137.76,135.62,26.78M,26780000.0,10,2019,-0.018590856481481618,Slight or No change,,,
137.12,137.14,138.18,137.02,16.60M,16600000.000000002,10,2019,0.010687698090956044,Slight or No change,138.60142857142858,173.3653398915055,103.83751725135167
138.12,136.75,138.25,136.42,23.84M,23840000.0,10,2019,0.007292882147024394,Slight or No change,138.47142857142856,173.23533989150548,103.70751725135165
136.28,134.95,136.75,133.22,26.38M,26380000.0,10,2019,-0.01332174920359108,Slight or No change,138.40285714285716,173.16676846293407,103.63894582278024
134.65,136.25,136.37,133.58,32.00M,32000000.0,10,2019,-0.011960669210449026,Slight or No change,138.28,173.04391132007692,103.51608867992309
137.07,139.66,140.25,137.0,22.58M,22580000.0,10,2019,0.01797252135165239,Slight or No change,138.18285714285716,172.94676846293407,103.41894582278024
139.03,138.05,139.22,137.78,18.43M,18430000.0,9,2019,0.014299263150215237,Slight or No change,138.29857142857142,173.06248274864834,103.5346601084945
137.73,140.15,140.36,136.65,22.50M,22500000.0,9,2019,-0.009350499892109676,Slight or No change,138.1585714285714,172.92248274864832,103.39466010849449
139.54,139.44,140.18,138.44,17.81M,17810000.0,9,2019,0.013141653960647705,Slight or No change,138.09642857142856,172.86033989150548,103.33251725135165
139.36,137.5,139.96,136.03,22.54M,22540000.0,9,2019,-0.0012899527017341539,Slight or No change,137.9385714285714,172.70248274864832,103.17466010849449
137.38,140.36,140.69,136.88,30.02M,30020000.0,9,2019,-0.014207807118254978,Slight or No change,137.7835714285714,172.54748274864832,103.01966010849449
139.14,139.23,139.63,138.44,17.41M,17410000.0,9,2019,0.012811180666763677,Slight or No change,137.74499999999998,172.5089113200769,102.98108867992306
139.44,141.01,141.65,138.25,40.04M,40040000.0,9,2019,0.0021561017680036265,Slight or No change,137.76928571428567,172.5331970343626,103.00537439420876
141.07,140.3,142.37,140.07,36.10M,36100000.0,9,2019,0.01168961560527815,Slight or No change,137.97142857142856,172.73533989150548,103.20751725135165
